"","DateTime","Global_active_power","Sub_metering_1","Sub_metering_2","Sub_metering_3","Global_reactive_power","Voltage"
"1",2007-02-01 00:00:00,0.326,0,0,0,0.128,243.15
"2",2007-02-01 00:01:00,0.326,0,0,0,0.13,243.32
"3",2007-02-01 00:02:00,0.324,0,0,0,0.132,243.51
"4",2007-02-01 00:03:00,0.324,0,0,0,0.134,243.9
"5",2007-02-01 00:04:00,0.322,0,0,0,0.13,243.16
"6",2007-02-01 00:05:00,0.32,0,0,0,0.126,242.29
"7",2007-02-01 00:06:00,0.32,0,0,0,0.126,242.46
"8",2007-02-01 00:07:00,0.32,0,0,0,0.126,242.63
"9",2007-02-01 00:08:00,0.32,0,0,0,0.128,242.7
"10",2007-02-01 00:09:00,0.236,0,0,0,0,242.89
"11",2007-02-01 00:10:00,0.226,0,0,0,0,243
"12",2007-02-01 00:11:00,0.224,0,0,0,0,242.5
"13",2007-02-01 00:12:00,0.224,0,0,0,0,242.18
"14",2007-02-01 00:13:00,0.224,0,0,0,0,242.15
"15",2007-02-01 00:14:00,0.224,0,0,0,0,242.73
"16",2007-02-01 00:15:00,0.26,0,0,0,0,242.85
"17",2007-02-01 00:16:00,0.304,0,0,0,0.096,242.89
"18",2007-02-01 00:17:00,0.302,0,0,0,0.096,242.87
"19",2007-02-01 00:18:00,0.302,0,0,0,0.094,242.19
"20",2007-02-01 00:19:00,0.3,0,0,0,0.094,242.23
"21",2007-02-01 00:20:00,0.3,0,0,0,0.094,242.16
"22",2007-02-01 00:21:00,0.298,0,0,0,0.094,242.29
"23",2007-02-01 00:22:00,0.298,0,0,0,0.094,242.47
"24",2007-02-01 00:23:00,0.296,0,0,0,0.094,242.32
"25",2007-02-01 00:24:00,0.296,0,0,0,0.096,242.98
"26",2007-02-01 00:25:00,0.298,0,0,0,0.1,243.65
"27",2007-02-01 00:26:00,0.228,0,0,0,0,243.55
"28",2007-02-01 00:27:00,0.226,0,0,0,0,243.11
"29",2007-02-01 00:28:00,0.226,0,0,0,0,243.09
"30",2007-02-01 00:29:00,0.226,0,0,0,0,243.05
"31",2007-02-01 00:30:00,0.226,0,0,0,0,243.22
"32",2007-02-01 00:31:00,0.226,0,0,0,0,243.37
"33",2007-02-01 00:32:00,0.226,0,0,0,0,243.14
"34",2007-02-01 00:33:00,0.226,0,0,0,0,243.12
"35",2007-02-01 00:34:00,0.322,0,0,0,0.094,242.74
"36",2007-02-01 00:35:00,0.336,0,0,0,0.126,242.59
"37",2007-02-01 00:36:00,0.332,0,0,0,0.126,242.91
"38",2007-02-01 00:37:00,0.332,0,0,0,0.13,243.51
"39",2007-02-01 00:38:00,0.33,0,0,0,0.13,243.65
"40",2007-02-01 00:39:00,0.328,0,0,0,0.128,243.37
"41",2007-02-01 00:40:00,0.328,0,0,0,0.13,243.79
"42",2007-02-01 00:41:00,0.326,0,0,0,0.128,243.23
"43",2007-02-01 00:42:00,0.324,0,0,0,0.126,242.98
"44",2007-02-01 00:43:00,0.322,0,0,0,0.126,242.95
"45",2007-02-01 00:44:00,0.322,0,0,0,0.124,242.6
"46",2007-02-01 00:45:00,0.322,0,0,0,0.128,243.33
"47",2007-02-01 00:46:00,0.318,0,0,0,0.118,241.32
"48",2007-02-01 00:47:00,0.316,0,0,0,0.116,240.93
"49",2007-02-01 00:48:00,0.316,0,0,0,0.116,240.93
"50",2007-02-01 00:49:00,0.274,0,0,0,0.058,240.36
"51",2007-02-01 00:50:00,0.222,0,0,0,0,240.93
"52",2007-02-01 00:51:00,0.222,0,0,0,0,240.83
"53",2007-02-01 00:52:00,0.222,0,0,0,0,240.52
"54",2007-02-01 00:53:00,0.224,0,0,0,0,241.45
"55",2007-02-01 00:54:00,0.224,0,0,0,0,241.59
"56",2007-02-01 00:55:00,0.226,0,0,0,0,242.55
"57",2007-02-01 00:56:00,0.226,0,0,0,0,242.88
"58",2007-02-01 00:57:00,0.226,0,0,0,0,242.63
"59",2007-02-01 00:58:00,0.224,0,0,0,0,242.2
"60",2007-02-01 00:59:00,0.224,0,0,0,0,241.84
"61",2007-02-01 01:00:00,0.222,0,0,0,0,240.89
"62",2007-02-01 01:01:00,0.222,0,0,0,0,240.86
"63",2007-02-01 01:02:00,0.26,0,0,0,0,240.64
"64",2007-02-01 01:03:00,0.298,0,0,0,0.088,240.72
"65",2007-02-01 01:04:00,0.302,0,0,0,0.094,242.18
"66",2007-02-01 01:05:00,0.302,0,0,0,0.096,242.66
"67",2007-02-01 01:06:00,0.302,0,0,0,0.096,242.77
"68",2007-02-01 01:07:00,0.3,0,0,0,0.096,242.6
"69",2007-02-01 01:08:00,0.298,0,0,0,0.094,242.38
"70",2007-02-01 01:09:00,0.298,0,0,0,0.094,242.21
"71",2007-02-01 01:10:00,0.296,0,0,0,0.096,242.61
"72",2007-02-01 01:11:00,0.296,0,0,0,0.094,242.24
"73",2007-02-01 01:12:00,0.258,0,0,0,0,242.66
"74",2007-02-01 01:13:00,0.226,0,0,0,0,242.99
"75",2007-02-01 01:14:00,0.228,0,0,0,0,243.53
"76",2007-02-01 01:15:00,0.316,0,0,0,0.088,243.12
"77",2007-02-01 01:16:00,0.434,0,0,0,0.252,242.83
"78",2007-02-01 01:17:00,0.418,0,2,0,0.254,243.08
"79",2007-02-01 01:18:00,0.414,0,1,0,0.254,243.35
"80",2007-02-01 01:19:00,0.412,0,1,0,0.252,242.71
"81",2007-02-01 01:20:00,0.41,0,2,0,0.246,241.63
"82",2007-02-01 01:21:00,0.408,0,1,0,0.246,241.86
"83",2007-02-01 01:22:00,0.408,0,2,0,0.248,242.17
"84",2007-02-01 01:23:00,0.404,0,1,0,0.244,241.7
"85",2007-02-01 01:24:00,0.402,0,1,0,0.242,241.14
"86",2007-02-01 01:25:00,0.402,0,2,0,0.244,241.41
"87",2007-02-01 01:26:00,0.402,0,1,0,0.246,241.95
"88",2007-02-01 01:27:00,0.402,0,2,0,0.248,242.36
"89",2007-02-01 01:28:00,0.402,0,1,0,0.25,242.6
"90",2007-02-01 01:29:00,0.398,0,1,0,0.246,242.11
"91",2007-02-01 01:30:00,0.336,0,2,0,0.156,241.88
"92",2007-02-01 01:31:00,0.3,0,1,0,0.104,240.78
"93",2007-02-01 01:32:00,0.3,0,1,0,0.104,240.68
"94",2007-02-01 01:33:00,0.3,0,2,0,0.106,240.87
"95",2007-02-01 01:34:00,0.298,0,1,0,0.106,241
"96",2007-02-01 01:35:00,0.298,0,1,0,0.106,240.97
"97",2007-02-01 01:36:00,0.298,0,1,0,0.106,241.09
"98",2007-02-01 01:37:00,0.298,0,2,0,0.106,241.1
"99",2007-02-01 01:38:00,0.298,0,1,0,0.106,241.21
"100",2007-02-01 01:39:00,0.296,0,1,0,0.106,241.27
"101",2007-02-01 01:40:00,0.296,0,1,0,0.108,241.4
"102",2007-02-01 01:41:00,0.296,0,1,0,0.108,241.61
"103",2007-02-01 01:42:00,0.296,0,2,0,0.106,241.37
"104",2007-02-01 01:43:00,0.294,0,1,0,0.106,240.99
"105",2007-02-01 01:44:00,0.294,0,1,0,0.106,241.27
"106",2007-02-01 01:45:00,0.242,0,0,0,0,241.26
"107",2007-02-01 01:46:00,0.224,0,0,0,0,241.76
"108",2007-02-01 01:47:00,0.224,0,0,0,0,242.38
"109",2007-02-01 01:48:00,0.224,0,0,0,0,242.15
"110",2007-02-01 01:49:00,0.288,0,0,0,0.05,241.69
"111",2007-02-01 01:50:00,0.298,0,0,0,0.088,241.02
"112",2007-02-01 01:51:00,0.298,0,0,0,0.088,240.75
"113",2007-02-01 01:52:00,0.298,0,0,0,0.088,241.06
"114",2007-02-01 01:53:00,0.3,0,0,0,0.09,241.57
"115",2007-02-01 01:54:00,0.3,0,0,0,0.094,242.29
"116",2007-02-01 01:55:00,0.3,0,0,0,0.096,242.77
"117",2007-02-01 01:56:00,0.386,0,0,0,0.19,242.48
"118",2007-02-01 01:57:00,0.406,0,0,0,0.228,242.24
"119",2007-02-01 01:58:00,0.398,0,0,0,0.222,242.11
"120",2007-02-01 01:59:00,0.326,0,0,0,0.116,240.55
"121",2007-02-01 02:00:00,0.324,0,0,0,0.116,240.33
"122",2007-02-01 02:01:00,0.328,0,0,0,0.126,242.57
"123",2007-02-01 02:02:00,0.328,0,0,0,0.13,243.12
"124",2007-02-01 02:03:00,0.326,0,0,0,0.128,243.05
"125",2007-02-01 02:04:00,0.324,0,0,0,0.128,243.09
"126",2007-02-01 02:05:00,0.322,0,0,0,0.124,242.07
"127",2007-02-01 02:06:00,0.322,0,0,0,0.124,242.21
"128",2007-02-01 02:07:00,0.322,0,0,0,0.126,242.47
"129",2007-02-01 02:08:00,0.322,0,0,0,0.126,242.57
"130",2007-02-01 02:09:00,0.322,0,0,0,0.128,243.08
"131",2007-02-01 02:10:00,0.322,0,0,0,0.13,243.28
"132",2007-02-01 02:11:00,0.242,0,0,0,0,243.52
"133",2007-02-01 02:12:00,0.228,0,0,0,0,244.09
"134",2007-02-01 02:13:00,0.228,0,0,0,0,244.02
"135",2007-02-01 02:14:00,0.228,0,0,0,0,244.02
"136",2007-02-01 02:15:00,0.226,0,0,0,0,243.25
"137",2007-02-01 02:16:00,0.226,0,0,0,0,243.06
"138",2007-02-01 02:17:00,0.228,0,0,0,0,243.38
"139",2007-02-01 02:18:00,0.228,0,0,0,0,243.91
"140",2007-02-01 02:19:00,0.228,0,0,0,0,243.93
"141",2007-02-01 02:20:00,0.228,0,0,0,0,243.55
"142",2007-02-01 02:21:00,0.228,0,0,0,0,243.45
"143",2007-02-01 02:22:00,0.226,0,0,0,0,242.42
"144",2007-02-01 02:23:00,0.226,0,0,0,0,243.14
